ID,State,County,obesity_percent,poverty_percent,,
132,Arkansas,Desha County,39.6,33,,
133,Arkansas,Drew County,34.3,28.6,,
134,Arkansas,Faulkner County,33.2,15.5,,
135,Arkansas,Franklin County,37.1,22,,
136,Arkansas,Fulton County,32.9,19.9,,
137,Arkansas,Garland County,32.3,20.9,,
138,Arkansas,Grant County,38.3,12,,
139,Arkansas,Greene County,31.2,17.8,,
140,Arkansas,Hempstead County,40.3,27,,
141,Arkansas,Hot Spring County,34.7,19.1,,
142,Arkansas,Howard County,35.7,21.8,,
143,Arkansas,Independence County,37.2,21.8,,
144,Arkansas,Izard County,33.9,21,,
145,Arkansas,Jackson County,37.2,26.8,,
146,Arkansas,Jefferson County,40.7,25.5,,
147,Arkansas,Johnson County,36.4,22.1,,
148,Arkansas,Lafayette County,36.3,24.4,,
149,Arkansas,Lawrence County,31.8,23.9,,
150,Arkansas,Lee County,35.7,27.3,,
151,Arkansas,Lincoln County,37.5,23,,
152,Arkansas,Little River County,32.7,19.3,,
153,Arkansas,Logan County,37.5,19.3,,
154,Arkansas,Lonoke County,35.8,12.4,,
155,Arkansas,Madison County,34,20.5,,
156,Arkansas,Marion County,31.7,18.8,,
157,Arkansas,Miller County,35.9,20.3,,
158,Arkansas,Mississippi County,39.8,26.8,,
159,Arkansas,Monroe County,37.5,32.8,,
160,Arkansas,Montgomery County,33.8,17.9,,
161,Arkansas,Nevada County,36,28.1,,
162,Arkansas,Newton County,34.2,20.5,,
163,Arkansas,Ouachita County,34.8,24.1,,
164,Arkansas,Perry County,37.5,16,,
165,Arkansas,Phillips County,45.5,34.1,,
166,Arkansas,Pike County,37.8,20.2,,
167,Arkansas,Poinsett County,38.4,22.8,,
168,Arkansas,Polk County,36.7,24.1,,
169,Arkansas,Pope County,32.1,20,,
170,Arkansas,Prairie County,36.3,21.4,,
171,Arkansas,Pulaski County,31.7,17.6,,
172,Arkansas,Randolph County,35.3,21.1,,
173,Arkansas,St. Francis County,42.5,24.8,,
174,Arkansas,Saline County,32.5,9.1,,
175,Arkansas,Scott County,32.5,20.1,,
176,Arkansas,Searcy County,35,23.6,,
177,Arkansas,Sebastian County,36.9,23.2,,
178,Arkansas,Sevier County,36.7,22.1,,
179,Arkansas,Sharp County,37.3,23.6,,
180,Arkansas,Stone County,32.6,24.6,,
181,Arkansas,Union County,39.4,20.4,,
182,Arkansas,Van Buren County,35.6,21.4,,
183,Arkansas,Washington County,30.6,20.1,,
184,Arkansas,White County,36.3,19,,
185,Arkansas,Woodruff County,35.8,23.5,,
186,Arkansas,Yell County,37.1,18.6,,21.552
187,California,Alameda County,20,12.5,,
188,California,Alpine County,23.4,17.5,,
189,California,Amador County,25.5,12.8,,
190,California,Butte County,25.9,21.9,,
191,California,Calaveras County,23.5,12.6,,
192,California,Colusa County,25.4,15,,
193,California,Contra Costa County,25,10.9,,
194,California,Del Norte County,25.5,21.8,,
195,California,El Dorado County,20.6,10.4,,
196,California,Fresno County,26.6,26.8,,
197,California,Glenn County,26.7,20.8,,
198,California,Humboldt County,25.5,21.4,,
199,California,Imperial County,26.3,24,,
200,California,Inyo County,23.3,11.4,,
201,California,Kern County,30.3,23.5,,
202,California,Kings County,26.4,22.6,,
203,California,Lake County,26.2,24.7,,
204,California,Lassen County,23.9,16.4,,
205,California,Los Angeles County,21.4,18.2,,
206,California,Madera County,26.5,23.5,,
207,California,Marin County,18.9,8.3,,
208,California,Mariposa County,24.4,15.1,,
209,California,Mendocino County,22.4,20.4,,
210,California,Merced County,29.5,26.1,,
211,California,Modoc County,23.2,18.8,,
212,California,Mono County,22.8,4.9,,
213,California,Monterey County,22.3,17,,
214,California,Napa County,23.7,10.3,,
215,California,Nevada County,21.1,12.7,,
216,California,Orange County,19.7,12.8,,
217,California,Placer County,21.7,8.9,,
218,California,Plumas County,23,14.5,,
219,California,Riverside County,26,16.8,,
220,California,Sacramento County,27.4,18.2,,
221,California,San Benito County,23.3,10.8,,
222,California,San Bernardino County,27.9,19.5,,
223,California,San Diego County,19.1,14.5,,
224,California,San Francisco County,16.1,13.2,,
225,California,San Joaquin County,28.3,18.6,,
226,California,San Luis Obispo County,24.5,14.8,,
227,California,San Mateo County,21.1,8,,
228,California,Santa Barbara County,18.2,16.3,,
229,California,Santa Clara County,19.5,9.5,,
230,California,Santa Cruz County,20.2,15.1,,
231,California,Shasta County,26.5,18,,
232,California,Sierra County,22.5,14.6,,
233,California,Siskiyou County,23.2,23.1,,
234,California,Solano County,30.1,13.4,,
235,California,Sonoma County,20.9,11.7,,
236,California,Stanislaus County,32.6,20.3,,
237,California,Sutter County,28.7,17.8,,
238,California,Tehama County,27.2,19.8,,
239,California,Trinity County,25.1,19.5,,
240,California,Tulare County,32.6,28.1,,
241,California,Tuolumne County,20.2,13.9,,
242,California,Ventura County,20.3,11.1,,
243,California,Yolo County,22.7,19.9,,
244,California,Yuba County,24.8,21.9,,16.67068966
245,Colorado,Adams County,26.3,13.8,,
246,Colorado,Alamosa County,23,28.9,,
247,Colorado,Arapahoe County,21.4,11.2,,
248,Colorado,Archuleta County,16.5,11.7,,
249,Colorado,Baca County,19.4,20.5,,
250,Colorado,Bent County,26.5,25.6,,
251,Colorado,Boulder County,13.4,14.1,,
252,Colorado,Broomfield County,17.6,6.5,,
253,Colorado,Chaffee County,20.5,8.7,,
254,Colorado,Cheyenne County,23.7,8.6,,
255,Colorado,Clear Creek County,18.1,8.3,,
256,Colorado,Conejos County,24.5,18.3,,
257,Colorado,Costilla County,21.9,23.7,,
258,Colorado,Crowley County,21.6,33.4,,
259,Colorado,Custer County,20.5,17.4,,
260,Colorado,Delta County,20.4,16.3,,
261,Colorado,Denver County,16.4,17.3,,
262,Colorado,Dolores County,19.8,21.5,,
263,Colorado,Douglas County,17,4,,
264,Colorado,Eagle County,11.8,9.2,,
265,Colorado,Elbert County,19.6,7,,
266,Colorado,El Paso County,22.3,11.8,,
267,Colorado,Fremont County,22.8,17.4,,
268,Colorado,Garfield County,20,12.1,,
269,Colorado,Gilpin County,19.7,7.4,,
270,Colorado,Grand County,17.4,10.8,,
271,Colorado,Gunnison County,14.8,16.9,,
272,Colorado,Hinsdale County,20.5,8,,
273,Colorado,Huerfano County,20.1,18.5,,
274,Colorado,Jackson County,21.4,11.7,,
275,Colorado,Jefferson County,18.3,8.5,,
276,Colorado,Kiowa County,19.5,13.2,,
277,Colorado,Kit Carson County,27.6,16.4,,
278,Colorado,Lake County,17.5,11.5,,
279,Colorado,La Plata County,16.3,10.6,,
280,Colorado,Larimer County,18.7,13.7,,
281,Colorado,Las Animas County,21,14.9,,
282,Colorado,Lincoln County,23.8,16.6,,
283,Colorado,Logan County,25.4,16.9,,
284,Colorado,Mesa County,23.5,15.6,,
285,Colorado,Mineral County,18.1,7.6,,
286,Colorado,Moffat County,25.8,11.4,,
287,Colorado,Montezuma County,21.7,17.9,,
288,Colorado,Montrose County,19.7,19,,
289,Colorado,Morgan County,26.9,11.6,,
290,Colorado,Otero County,26.9,24.3,,
291,Colorado,Ouray County,18.6,7.8,,
292,Colorado,Park County,20.5,7.3,,
293,Colorado,Phillips County,22.8,15.3,,
294,Colorado,Pitkin County,14.9,9.9,,
295,Colorado,Prowers County,26.1,19,,
296,Colorado,Pueblo County,25.9,19.8,,
297,Colorado,Rio Blanco County,22.6,17.4,,
298,Colorado,Rio Grande County,23.2,19.2,,
299,Colorado,Routt County,14.3,10.2,,
300,Colorado,Saguache County,19.7,23.4,,
301,Colorado,San Juan County,19.3,16.5,,
302,Colorado,San Miguel County,16.7,11.2,,
303,Colorado,Sedgwick County,22.1,14.4,,
304,Colorado,Summit County,13.1,13.7,,
305,Colorado,Teller County,20.3,7.5,,
306,Colorado,Washington County,23.2,10.4,,
307,Colorado,Weld County,26,12.9,,
308,Colorado,Yuma County,24.8,14.5,,14.5015625
309,Connecticut,Fairfield County,21.4,9,,
310,Connecticut,Hartford County,26.8,11.9,,
311,Connecticut,Litchfield County,23.9,7,,
312,Connecticut,Middlesex County,24.1,6.7,,
313,Connecticut,New Haven County,26.5,13,,
314,Connecticut,New London County,27.6,9.9,,
315,Connecticut,Tolland County,24.8,7,,
316,Connecticut,Windham County,29.6,10.7,,9.875
317,Delaware,Kent County,32.8,13.5,,
318,Delaware,New Castle County,27.7,11.4,,
319,Delaware,Sussex County,31,12.6,,11.86666667
320,District of Columbia,District of Columbia,22.4,18,,18
321,Florida,Alachua County,25.6,24.3,,
322,Florida,Baker County,35.8,18.1,,
323,Florida,Bay County,29.9,15.2,,
324,Florida,Bradford County,35.9,20.6,,
325,Florida,Brevard County,25.6,14,,
326,Florida,Broward County,24.4,14.5,,
327,Florida,Calhoun County,39.4,19.3,,
328,Florida,Charlotte County,25.7,12.2,,
329,Florida,Citrus County,26.3,17.4,,
330,Florida,Clay County,29.7,10.5,,
331,Florida,Collier County,19.5,14.1,,
332,Florida,Columbia County,36.3,19.9,,
333,Florida,DeSoto County,36,30.6,,
334,Florida,Dixie County,30.6,21.1,,
335,Florida,Duval County,30.6,17.3,,
336,Florida,Escambia County,28.9,15.8,,
337,Florida,Flagler County,24.2,14.8,,
338,Florida,Franklin County,32.2,20.3,,
339,Florida,Gadsden County,36.5,27.1,,
340,Florida,Gilchrist County,31.5,22.8,,
341,Florida,Glades County,33.1,20.2,,
