ID,State,County,obesity_percent,poverty_percent,,
610,Illinois,Coles County,26.3,22.3,,
611,Illinois,Cook County,25.3,17.1,,
612,Illinois,Crawford County,31.3,12.7,,
613,Illinois,Cumberland County,27.8,15.8,,
614,Illinois,DeKalb County,28.3,18.7,,
615,Illinois,De Witt County,30.5,12.9,,
616,Illinois,Douglas County,30.5,10.3,,
617,Illinois,DuPage County,23,7.4,,
618,Illinois,Edgar County,30.3,17,,
619,Illinois,Edwards County,31.3,12.9,,
620,Illinois,Effingham County,31.8,10.6,,
621,Illinois,Fayette County,33,18,,
622,Illinois,Ford County,28.2,13.4,,
623,Illinois,Franklin County,30.2,18.5,,
624,Illinois,Fulton County,30.7,14.2,,
625,Illinois,Gallatin County,28.4,15.6,,
626,Illinois,Greene County,28.7,17.1,,
627,Illinois,Grundy County,30.4,9.1,,
628,Illinois,Hamilton County,28.2,14.8,,
629,Illinois,Hancock County,28.6,11.7,,
630,Illinois,Hardin County,30.6,20.7,,
631,Illinois,Henderson County,30.4,9.9,,
632,Illinois,Henry County,30.5,10.7,,
633,Illinois,Iroquois County,33.9,16.6,,
634,Illinois,Jackson County,31.5,30.5,,
635,Illinois,Jasper County,30.2,9.2,,
636,Illinois,Jefferson County,30.2,17,,
637,Illinois,Jersey County,33,7.3,,
638,Illinois,Jo Daviess County,29.5,9.2,,
639,Illinois,Johnson County,29.4,14.6,,
640,Illinois,Kane County,25.3,11.4,,
641,Illinois,Kankakee County,30.1,16.1,,
642,Illinois,Kendall County,33.7,5.5,,
643,Illinois,Knox County,26.2,18.8,,
644,Illinois,Lake County,28.4,9.6,,
645,Illinois,LaSalle County,27.1,13.2,,
646,Illinois,Lawrence County,28.9,13.5,,
647,Illinois,Lee County,32.6,11.1,,
648,Illinois,Livingston County,29.2,11.6,,
649,Illinois,Logan County,29.2,14.2,,
650,Illinois,McDonough County,26.8,23,,
651,Illinois,McHenry County,27.7,7.9,,
652,Illinois,McLean County,29.3,14.4,,
653,Illinois,Macon County,29.7,18.4,,
654,Illinois,Macoupin County,31,12.5,,
655,Illinois,Madison County,32.3,13.3,,
656,Illinois,Marion County,33.5,18.6,,
657,Illinois,Marshall County,29.1,10.1,,
658,Illinois,Mason County,31.7,15.1,,
659,Illinois,Massac County,30.7,18.3,,
660,Illinois,Menard County,28.3,11.3,,
661,Illinois,Mercer County,31.2,9.4,,
662,Illinois,Monroe County,33.2,5,,
663,Illinois,Montgomery County,31.3,14.8,,
664,Illinois,Morgan County,28.8,14.3,,
665,Illinois,Moultrie County,28.6,13.3,,
666,Illinois,Ogle County,31.2,10.6,,
667,Illinois,Peoria County,28.8,17.2,,
668,Illinois,Perry County,29.1,17.2,,
669,Illinois,Piatt County,29,6.2,,
670,Illinois,Pike County,32.6,13.7,,
671,Illinois,Pope County,29.5,15,,
672,Illinois,Pulaski County,27.3,20.2,,
673,Illinois,Putnam County,29.9,12,,
674,Illinois,Randolph County,27.7,12.9,,
675,Illinois,Richland County,28.8,15.1,,
676,Illinois,Rock Island County,31.7,14.9,,
677,Illinois,St. Clair County,33.2,18.2,,
678,Illinois,Saline County,30.1,23,,
679,Illinois,Sangamon County,28.5,15.6,,
680,Illinois,Schuyler County,31.7,19.3,,
681,Illinois,Scott County,30.4,14.2,,
682,Illinois,Shelby County,30.6,11.2,,
683,Illinois,Stark County,30.2,11.9,,
684,Illinois,Stephenson County,32.9,15,,
685,Illinois,Tazewell County,30.6,8.7,,
686,Illinois,Union County,28.2,17.2,,
687,Illinois,Vermilion County,35.4,18.8,,
688,Illinois,Wabash County,32.2,12.5,,
689,Illinois,Warren County,30.5,15,,
690,Illinois,Washington County,28.6,12.9,,
691,Illinois,Wayne County,29.2,14.5,,
692,Illinois,White County,28.7,13.6,,
693,Illinois,Whiteside County,28.7,12,,
694,Illinois,Will County,28,7.9,,
695,Illinois,Williamson County,31.6,15,,
696,Illinois,Winnebago County,33.9,16.8,,
697,Illinois,Woodford County,30.8,8.2,,14.21078431
698,Indiana,Adams County,32.8,16.3,,
699,Indiana,Allen County,30.1,15.8,,
700,Indiana,Bartholomew County,29.5,12.8,,
701,Indiana,Benton County,32.6,13.7,,
702,Indiana,Blackford County,36,14,,
703,Indiana,Boone County,27.8,5.8,,
704,Indiana,Brown County,30.6,12.6,,
705,Indiana,Carroll County,26.9,10.8,,
706,Indiana,Cass County,33.7,15.6,,
707,Indiana,Clark County,33.3,10.8,,
708,Indiana,Clay County,33.1,14.5,,
709,Indiana,Clinton County,30.9,14.1,,
710,Indiana,Crawford County,33,20.7,,
711,Indiana,Daviess County,37.6,13.2,,
712,Indiana,Dearborn County,32.5,9.3,,
713,Indiana,Decatur County,32.7,14.2,,
714,Indiana,DeKalb County,32.8,14.6,,
715,Indiana,Delaware County,31.5,22,,
716,Indiana,Dubois County,29.5,9.8,,
717,Indiana,Elkhart County,32.8,16.1,,
718,Indiana,Fayette County,33,20.6,,
719,Indiana,Floyd County,30.1,12.8,,
720,Indiana,Fountain County,29.8,12,,
721,Indiana,Franklin County,26.2,10.6,,
722,Indiana,Fulton County,37.8,14.9,,
723,Indiana,Gibson County,32.1,11.2,,
724,Indiana,Grant County,37.3,18.7,,
725,Indiana,Greene County,33.1,13.6,,
726,Indiana,Hamilton County,25.9,4.7,,
727,Indiana,Hancock County,34.8,6.5,,
728,Indiana,Harrison County,36,13.9,,
729,Indiana,Hendricks County,31.8,5,,
730,Indiana,Henry County,36.7,16.3,,
731,Indiana,Howard County,31.4,17.8,,
732,Indiana,Huntington County,32.6,12,,
733,Indiana,Jackson County,36.9,14.8,,
734,Indiana,Jasper County,29.6,8.4,,
735,Indiana,Jay County,34,16.3,,
736,Indiana,Jefferson County,35,14.5,,
737,Indiana,Jennings County,33,15.9,,
738,Indiana,Johnson County,30.2,9.9,,
739,Indiana,Knox County,32.3,15.9,,
740,Indiana,Kosciusko County,33.2,11.4,,
741,Indiana,LaGrange County,34.2,13,,
742,Indiana,Lake County,33.9,17.9,,
743,Indiana,LaPorte County,35,17.4,,
744,Indiana,Lawrence County,38.2,13,,
745,Indiana,Madison County,33.4,17.1,,
746,Indiana,Marion County,32.4,21.1,,
747,Indiana,Marshall County,30.8,12.1,,
748,Indiana,Martin County,35.8,13,,
749,Indiana,Miami County,35.7,15.2,,
750,Indiana,Monroe County,22.1,24.8,,
751,Indiana,Montgomery County,32.7,14.2,,
752,Indiana,Morgan County,33.2,12.1,,
753,Indiana,Newton County,35.3,13.7,,
754,Indiana,Noble County,31.8,12.2,,
755,Indiana,Ohio County,30.4,7.9,,
756,Indiana,Orange County,35.4,17.6,,
757,Indiana,Owen County,34,15.1,,
758,Indiana,Parke County,33.6,16,,
759,Indiana,Perry County,32.8,13,,
760,Indiana,Pike County,36.4,10,,
761,Indiana,Porter County,31.9,11.6,,
762,Indiana,Posey County,29.1,11.1,,
763,Indiana,Pulaski County,31.5,14.2,,
764,Indiana,Putnam County,31.5,10.2,,
765,Indiana,Randolph County,35.6,18,,
766,Indiana,Ripley County,32.7,8.6,,
767,Indiana,Rush County,32.6,17.6,,
768,Indiana,St. Joseph County,30,17.8,,
769,Indiana,Scott County,29.5,17.8,,
770,Indiana,Shelby County,33.1,12.2,,
771,Indiana,Spencer County,30.5,10.8,,
772,Indiana,Starke County,36.1,16,,
773,Indiana,Steuben County,33.7,10.8,,
774,Indiana,Sullivan County,32.9,18.7,,
775,Indiana,Switzerland County,32,19.6,,
776,Indiana,Tippecanoe County,26.4,22.2,,
777,Indiana,Tipton County,31.1,10,,
778,Indiana,Union County,30,10.4,,
779,Indiana,Vanderburgh County,33.3,16.6,,
780,Indiana,Vermillion County,33.1,12.9,,
781,Indiana,Vigo County,32.8,20.5,,
782,Indiana,Wabash County,31.6,14.4,,
783,Indiana,Warren County,32.1,9.1,,
784,Indiana,Warrick County,29.4,9.9,,
785,Indiana,Washington County,30.6,15.2,,
786,Indiana,Wayne County,29.6,21.1,,
787,Indiana,Wells County,28.4,12.2,,
788,Indiana,White County,34.7,9.6,,
789,Indiana,Whitley County,32,8,,13.89021739
790,Iowa,Adair County,32.4,10.6,,
791,Iowa,Adams County,30.8,10.2,,
792,Iowa,Allamakee County,33.6,10.9,,
793,Iowa,Appanoose County,35.4,13.7,,
794,Iowa,Audubon County,31.2,9.7,,
795,Iowa,Benton County,34.4,9.6,,
796,Iowa,Black Hawk County,29.9,15.7,,
797,Iowa,Boone County,32.4,10.1,,
798,Iowa,Bremer County,32.4,8.3,,
799,Iowa,Buchanan County,35.2,9.5,,
800,Iowa,Buena Vista County,33,12.6,,
801,Iowa,Butler County,33.8,9,,
802,Iowa,Calhoun County,32.4,14.8,,
803,Iowa,Carroll County,30.7,10.1,,
804,Iowa,Cass County,35.2,13.9,,
805,Iowa,Cedar County,32.4,7.7,,
806,Iowa,Cerro Gordo County,33.2,13.4,,
807,Iowa,Cherokee County,37.5,11.2,,
808,Iowa,Chickasaw County,32.7,8.8,,
809,Iowa,Clarke County,30.5,16.4,,
810,Iowa,Clay County,33.8,11.5,,
811,Iowa,Clayton County,32.1,11.1,,
812,Iowa,Clinton County,33.4,13.9,,
813,Iowa,Crawford County,34.2,19.8,,
814,Iowa,Dallas County,29.8,6.5,,
815,Iowa,Davis County,32.7,19.3,,
816,Iowa,Decatur County,33.1,20.6,,
817,Iowa,Delaware County,33.9,10,,
818,Iowa,Des Moines County,31.3,15.2,,
819,Iowa,Dickinson County,33.4,6.6,,
820,Iowa,Dubuque County,28.5,12.2,,
821,Iowa,Emmet County,33.2,13.6,,
822,Iowa,Fayette County,37.7,12.9,,
823,Iowa,Floyd County,31,12.4,,
824,Iowa,Franklin County,32.6,13.3,,
825,Iowa,Fremont County,32.9,11,,
826,Iowa,Greene County,29.6,12.6,,
827,Iowa,Grundy County,31.7,6.2,,
828,Iowa,Guthrie County,35.9,11.4,,
829,Iowa,Hamilton County,30.6,11.4,,
830,Iowa,Hancock County,35.4,8.5,,
831,Iowa,Hardin County,34.8,8.8,,
832,Iowa,Harrison County,32.3,9.9,,
833,Iowa,Henry County,34.6,14.5,,
834,Iowa,Howard County,31.1,11.7,,
835,Iowa,Humboldt County,31.8,12.2,,
836,Iowa,Ida County,28.2,11.7,,
837,Iowa,Iowa County,30.7,8.7,,
838,Iowa,Jackson County,33.1,12.1,,
839,Iowa,Jasper County,32.2,9.6,,
840,Iowa,Jefferson County,27.5,15,,
841,Iowa,Johnson County,23,17.9,,
842,Iowa,Jones County,37.6,10.2,,
843,Iowa,Keokuk County,29.9,13.5,,
844,Iowa,Kossuth County,32.7,9,,
845,Iowa,Lee County,31.9,16.8,,
846,Iowa,Linn County,31,9.8,,
847,Iowa,Louisa County,37.4,12.2,,
848,Iowa,Lucas County,33.8,13.1,,
849,Iowa,Lyon County,31.9,7.3,,
850,Iowa,Madison County,34.2,7.6,,
851,Iowa,Mahaska County,31.9,14.7,,
852,Iowa,Marion County,33.1,9.9,,
853,Iowa,Marshall County,34.7,11.1,,
854,Iowa,Mills County,34.7,8.9,,
855,Iowa,Mitchell County,30.3,9.6,,
856,Iowa,Monona County,32.8,13.9,,
857,Iowa,Monroe County,32.4,12.1,,
858,Iowa,Montgomery County,37.6,16.8,,
859,Iowa,Muscatine County,34.2,12.4,,
860,Iowa,O'Brien County,31.6,7.3,,
861,Iowa,Osceola County,34.4,8.5,,
862,Iowa,Page County,35.3,15.3,,
863,Iowa,Palo Alto County,35.7,10.7,,
864,Iowa,Plymouth County,32.2,7.8,,
865,Iowa,Pocahontas County,31.9,14.2,,
866,Iowa,Polk County,29.2,12.9,,
867,Iowa,Pottawattamie County,36,13,,
868,Iowa,Poweshiek County,32.1,10.4,,
869,Iowa,Ringgold County,34.9,10.6,,
870,Iowa,Sac County,33,8.2,,
871,Iowa,Scott County,31.8,12.1,,
872,Iowa,Shelby County,29.4,11.2,,
873,Iowa,Sioux County,29,8.3,,
874,Iowa,Story County,27.1,22.7,,
875,Iowa,Tama County,31.3,11.3,,
876,Iowa,Taylor County,30.9,14.1,,
877,Iowa,Union County,37.8,13.6,,
878,Iowa,Van Buren County,35.7,14.9,,
879,Iowa,Wapello County,35.6,18.6,,
880,Iowa,Warren County,31.1,6.8,,
881,Iowa,Washington County,31.5,9.3,,
882,Iowa,Wayne County,33.3,13.3,,
883,Iowa,Webster County,31.1,15.2,,
884,Iowa,Winnebago County,28.6,9.9,,
885,Iowa,Winneshiek County,25.4,8.1,,
886,Iowa,Woodbury County,34.3,14.6,,
887,Iowa,Worth County,33.7,12,,
888,Iowa,Wright County,34.4,11.1,,11.85050505
889,Kansas,Allen County,34.2,18,,
890,Kansas,Anderson County,33.3,17.5,,
891,Kansas,Atchison County,33.1,19.2,,
892,Kansas,Barber County,36.7,10.9,,
893,Kansas,Barton County,35.4,15.9,,
894,Kansas,Bourbon County,33.9,19.2,,
895,Kansas,Brown County,29.6,16.4,,
896,Kansas,Butler County,31.9,10.4,,
897,Kansas,Chase County,28.3,13.8,,
898,Kansas,Chautauqua County,34.1,16.8,,
899,Kansas,Cherokee County,37,17,,
900,Kansas,Cheyenne County,33.5,8.1,,
901,Kansas,Clark County,31.2,14.9,,
902,Kansas,Clay County,36.2,11.4,,
903,Kansas,Cloud County,29.9,13.5,,
904,Kansas,Coffey County,30.5,10,,
905,Kansas,Comanche County,33.6,7.2,,
906,Kansas,Cowley County,36,17.6,,
907,Kansas,Crawford County,33,22,,
908,Kansas,Decatur County,36.1,11.2,,
909,Kansas,Dickinson County,31.9,10.5,,
910,Kansas,Doniphan County,32.1,12.4,,
911,Kansas,Douglas County,24.2,19,,
912,Kansas,Edwards County,32.9,11.7,,
913,Kansas,Elk County,32.5,18.3,,
914,Kansas,Ellis County,31.6,15.6,,
915,Kansas,Ellsworth County,33.3,9,,
916,Kansas,Finney County,35.2,17,,
917,Kansas,Ford County,30.6,18.2,,
918,Kansas,Franklin County,33.8,13.1,,
919,Kansas,Geary County,32.7,12.4,,
920,Kansas,Gove County,30.2,8.2,,
921,Kansas,Graham County,28.9,11.2,,
922,Kansas,Grant County,35.6,10.3,,
923,Kansas,Gray County,36,10,,
924,Kansas,Greeley County,32.6,8.1,,
925,Kansas,Greenwood County,32.7,15.1,,
926,Kansas,Hamilton County,37.1,14.3,,
927,Kansas,Harper County,34.2,16.4,,
928,Kansas,Harvey County,31,13.2,,
929,Kansas,Haskell County,33.9,13.8,,
930,Kansas,Hodgeman County,32,4.6,,
931,Kansas,Jackson County,33.4,9.1,,
932,Kansas,Jefferson County,29.9,7.5,,
933,Kansas,Jewell County,29.6,15.5,,
934,Kansas,Johnson County,24.8,6.2,,
935,Kansas,Kearny County,28.7,10.7,,
936,Kansas,Kingman County,32.2,10.7,,
937,Kansas,Kiowa County,32.8,15.5,,
938,Kansas,Labette County,34,17.8,,
939,Kansas,Lane County,30.8,9,,
940,Kansas,Leavenworth County,32.8,11.4,,
941,Kansas,Lincoln County,31.2,11,,
942,Kansas,Linn County,31.6,13.2,,
943,Kansas,Logan County,31.1,8.4,,
944,Kansas,Lyon County,34.7,21.5,,
945,Kansas,McPherson County,29.2,7.2,,
946,Kansas,Marion County,30.9,11.4,,
947,Kansas,Marshall County,32.6,11.1,,
948,Kansas,Meade County,27,11.3,,
949,Kansas,Miami County,34.1,9.2,,
950,Kansas,Mitchell County,32.1,10.4,,
951,Kansas,Montgomery County,35.1,19,,
952,Kansas,Morris County,35.1,8.9,,
953,Kansas,Morton County,31.9,10.8,,
954,Kansas,Nemaha County,30.4,11.4,,
955,Kansas,Neosho County,33.5,18.6,,
956,Kansas,Ness County,31.1,11.7,,
957,Kansas,Norton County,32.4,8.5,,
958,Kansas,Osage County,37.1,12.6,,
959,Kansas,Osborne County,33.2,15.4,,
960,Kansas,Ottawa County,37.9,7.9,,
961,Kansas,Pawnee County,30.3,7.8,,
962,Kansas,Phillips County,28.8,9.2,,
963,Kansas,Pottawatomie County,31.3,8.9,,
964,Kansas,Pratt County,33.8,12.3,,
965,Kansas,Rawlins County,32.3,10,,
966,Kansas,Reno County,35.7,12.2,,
967,Kansas,Republic County,30.9,12.8,,
968,Kansas,Rice County,32.6,14.7,,
969,Kansas,Riley County,23.8,22.5,,
970,Kansas,Rooks County,32.8,14.4,,
971,Kansas,Rush County,32.6,9.4,,
972,Kansas,Russell County,30.4,12.9,,
973,Kansas,Saline County,35.1,16.1,,
974,Kansas,Scott County,32.1,6.6,,
975,Kansas,Sedgwick County,31.4,15.1,,
976,Kansas,Seward County,38.6,19.1,,
977,Kansas,Shawnee County,32.9,15.2,,
978,Kansas,Sheridan County,31.5,6.6,,
979,Kansas,Sherman County,29.9,19,,
980,Kansas,Smith County,34.1,14.8,,
981,Kansas,Stafford County,32.5,16.1,,
982,Kansas,Stanton County,31.3,5.3,,
983,Kansas,Stevens County,34.8,18.2,,
984,Kansas,Sumner County,31.1,12.4,,
985,Kansas,Thomas County,35,9.7,,
986,Kansas,Trego County,29.7,4.1,,
987,Kansas,Wabaunsee County,30.9,5.9,,
988,Kansas,Wallace County,33.1,8.2,,
989,Kansas,Washington County,30.7,11.7,,
990,Kansas,Wichita County,29.4,9.9,,
991,Kansas,Wilson County,32.9,18.6,,
992,Kansas,Woodson County,33.4,22.8,,
993,Kansas,Wyandotte County,36.2,23.9,,12.88285714
994,Kentucky,Adair County,34.3,21.6,,
995,Kentucky,Allen County,33.9,17.2,,
996,Kentucky,Anderson County,34.6,10.3,,
997,Kentucky,Ballard County,34.2,16.3,,
998,Kentucky,Barren County,31,20.4,,
999,Kentucky,Bath County,30.4,26.4,,
1000,Kentucky,Bell County,37.9,38,,
1001,Kentucky,Boone County,32.5,8.2,,
1002,Kentucky,Bourbon County,34.1,16.6,,
1003,Kentucky,Boyd County,38.5,20.4,,
1004,Kentucky,Boyle County,32.2,16.1,,
1005,Kentucky,Bracken County,32.4,18.5,,
1006,Kentucky,Breathitt County,41.6,32.9,,
1007,Kentucky,Breckinridge County,36.6,17.4,,
1008,Kentucky,Bullitt County,32.8,10.4,,
1009,Kentucky,Butler County,33.2,29.3,,
1010,Kentucky,Caldwell County,35,20.1,,
1011,Kentucky,Calloway County,30.1,23.1,,
1012,Kentucky,Campbell County,31.6,14.6,,
1013,Kentucky,Carlisle County,33.4,19.8,,
1014,Kentucky,Carroll County,35.3,27.9,,
1015,Kentucky,Carter County,38.9,17.6,,
1016,Kentucky,Casey County,36.4,25.5,,
1017,Kentucky,Christian County,36.5,19.9,,
1018,Kentucky,Clark County,30.6,15.4,,
1019,Kentucky,Clay County,38,39.7,,
1020,Kentucky,Clinton County,34.9,24.3,,
1021,Kentucky,Crittenden County,33.8,21.9,,
1022,Kentucky,Cumberland County,31.8,25.1,,
1023,Kentucky,Daviess County,30.4,15.6,,
1024,Kentucky,Edmonson County,31.2,19.2,,
1025,Kentucky,Elliott County,33.7,31.3,,
1026,Kentucky,Estill County,35.1,29.3,,
1027,Kentucky,Fayette County,27.3,18.9,,
1028,Kentucky,Fleming County,34.5,20.1,,
1029,Kentucky,Floyd County,37.6,30,,
1030,Kentucky,Franklin County,33.2,14.6,,
1031,Kentucky,Fulton County,32,27.4,,
1032,Kentucky,Gallatin County,35.8,15.3,,
1033,Kentucky,Garrard County,30.5,21.7,,
1034,Kentucky,Grant County,36.3,18.4,,
1035,Kentucky,Graves County,30.1,17.3,,
1036,Kentucky,Grayson County,36.5,24,,
1037,Kentucky,Green County,38.1,20.1,,
1038,Kentucky,Greenup County,39.8,17.7,,
1039,Kentucky,Hancock County,34.5,15.8,,
1040,Kentucky,Hardin County,32.9,14.3,,
1041,Kentucky,Harlan County,36.5,31.2,,
1042,Kentucky,Harrison County,30.1,22.2,,
1043,Kentucky,Hart County,37.1,24.9,,
1044,Kentucky,Henderson County,32.6,19,,
1045,Kentucky,Henry County,31.6,18.3,,
1046,Kentucky,Hickman County,35.2,15,,
1047,Kentucky,Hopkins County,35,17.2,,
1048,Kentucky,Jackson County,37.5,31.4,,
1049,Kentucky,Jefferson County,31.6,16.4,,
1050,Kentucky,Jessamine County,31.5,19.1,,
1051,Kentucky,Johnson County,37.2,26.3,,
1052,Kentucky,Kenton County,28.5,14.6,,
1053,Kentucky,Knott County,40.2,28.1,,
1054,Kentucky,Knox County,39.3,32.6,,
1055,Kentucky,Larue County,33.6,17.8,,
1056,Kentucky,Laurel County,37.8,23.1,,
1057,Kentucky,Lawrence County,42.2,22.7,,
1058,Kentucky,Lee County,33.9,32,,
1059,Kentucky,Leslie County,43.2,28.5,,
1060,Kentucky,Letcher County,38.6,28.4,,
1061,Kentucky,Lewis County,38.3,30.8,,
1062,Kentucky,Lincoln County,30.8,25,,
1063,Kentucky,Livingston County,29.7,14.7,,
1064,Kentucky,Logan County,35.2,19.3,,
1065,Kentucky,Lyon County,33.3,14.3,,
1066,Kentucky,McCracken County,33.7,16.8,,
1067,Kentucky,McCreary County,34.3,41,,
1068,Kentucky,McLean County,36.8,21.1,,
1069,Kentucky,Madison County,32.2,21,,
1070,Kentucky,Magoffin County,33.7,28.6,,
1071,Kentucky,Marion County,30.6,20.3,,
1072,Kentucky,Marshall County,34.1,10.8,,
1073,Kentucky,Martin County,39.3,35.2,,
1074,Kentucky,Mason County,30.1,18.2,,
1075,Kentucky,Meade County,35.9,16.7,,
1076,Kentucky,Menifee County,33.3,29.9,,
1077,Kentucky,Mercer County,35.8,18.3,,
1078,Kentucky,Metcalfe County,33.8,21.9,,
1079,Kentucky,Monroe County,29.9,27.7,,
1080,Kentucky,Montgomery County,32.2,26,,
1081,Kentucky,Morgan County,35.5,27.7,,
1082,Kentucky,Muhlenberg County,37.8,19.9,,
1083,Kentucky,Nelson County,32.4,16,,
1084,Kentucky,Nicholas County,32.5,23.5,,
1085,Kentucky,Ohio County,37.2,22,,
1086,Kentucky,Oldham County,28,6,,
1087,Kentucky,Owen County,30,16.8,,
1088,Kentucky,Owsley County,33.6,37.9,,
1089,Kentucky,Pendleton County,32.4,15.3,,
1090,Kentucky,Perry County,37,25.4,,
1091,Kentucky,Pike County,38.9,22.9,,
1092,Kentucky,Powell County,36.3,28.1,,
1093,Kentucky,Pulaski County,33.6,26.3,,
1094,Kentucky,Robertson County,34.6,22,,
1095,Kentucky,Rockcastle County,36,24.7,,
1096,Kentucky,Rowan County,34.4,26,,
1097,Kentucky,Russell County,34.6,25.8,,
1098,Kentucky,Scott County,29.4,11,,
1099,Kentucky,Shelby County,33,13,,
1100,Kentucky,Simpson County,35.4,20.1,,
1101,Kentucky,Spencer County,30.3,8.4,,
1102,Kentucky,Taylor County,35.4,23.7,,
1103,Kentucky,Todd County,33.7,18.5,,
1104,Kentucky,Trigg County,33.4,17.8,,
1105,Kentucky,Trimble County,34,17.4,,
1106,Kentucky,Union County,30.7,27.7,,
1107,Kentucky,Warren County,31.6,18.8,,
1108,Kentucky,Washington County,32.9,17.6,,
1109,Kentucky,Wayne County,37.1,27,,
1110,Kentucky,Webster County,35.6,17.6,,
1111,Kentucky,Whitley County,36.3,26,,
1112,Kentucky,Wolfe County,32.3,43,,
1113,Kentucky,Woodford County,29.5,13.1,,21.8275
1114,Louisiana,Acadia Parish,33.1,20.6,,
1115,Louisiana,Allen Parish,34.4,16.5,,
1116,Louisiana,Ascension Parish,31.3,11.8,,
1117,Louisiana,Assumption Parish,34.8,16,,
1118,Louisiana,Avoyelles Parish,37,23.2,,
1119,Louisiana,Beauregard Parish,35.8,20.2,,
1120,Louisiana,Bienville Parish,38.2,27.5,,
1121,Louisiana,Bossier Parish,34.7,14.3,,
1122,Louisiana,Caddo Parish,34.3,21.5,,
1123,Louisiana,Calcasieu Parish,32.3,17.1,,
1124,Louisiana,Caldwell Parish,36.3,21.6,,
1125,Louisiana,Cameron Parish,31.5,9.7,,
1126,Louisiana,Catahoula Parish,35.3,20.4,,
1127,Louisiana,Claiborne Parish,37,27.7,,
1128,Louisiana,Concordia Parish,38.3,30.5,,
1129,Louisiana,De Soto Parish,38.9,26.4,,
1130,Louisiana,East Baton Rouge Parish,32.9,19.6,,
1131,Louisiana,East Carroll Parish,42.1,48,,
1132,Louisiana,East Feliciana Parish,42.1,19.4,,
1133,Louisiana,Evangeline Parish,41.9,26.6,,
1134,Louisiana,Franklin Parish,38,30.7,,
1135,Louisiana,Grant Parish,33.8,18.3,,
1136,Louisiana,Iberia Parish,36.1,19.6,,
1137,Louisiana,Iberville Parish,39.7,19.1,,
1138,Louisiana,Jackson Parish,34.8,26.5,,
1139,Louisiana,Jefferson Parish,35.4,16.8,,
1140,Louisiana,Jefferson Davis Parish,36.3,21.1,,
1141,Louisiana,Lafayette Parish,31.1,16,,
1142,Louisiana,Lafourche Parish,36.9,14.8,,
1143,Louisiana,La Salle Parish,33.2,21,,
1144,Louisiana,Lincoln Parish,37.3,32.1,,
1145,Louisiana,Livingston Parish,34.4,14.4,,
1146,Louisiana,Madison Parish,41.8,38.4,,
1147,Louisiana,Morehouse Parish,39.4,28.5,,
1148,Louisiana,Natchitoches Parish,34.7,29.2,,
1149,Louisiana,Orleans Parish,31.9,27,,
1150,Louisiana,Ouachita Parish,35.7,24.7,,
1151,Louisiana,Plaquemines Parish,33.5,16.2,,
1152,Louisiana,Pointe Coupee Parish,35.3,19.6,,
1153,Louisiana,Rapides Parish,35.7,20.8,,
1154,Louisiana,Red River Parish,40.3,22.3,,
1155,Louisiana,Richland Parish,37.1,20.9,,
1156,Louisiana,Sabine Parish,39.1,19.5,,
1157,Louisiana,St. Bernard Parish,35.5,19.3,,
1158,Louisiana,St. Charles Parish,35.9,11.8,,
1159,Louisiana,St. Helena Parish,40.6,26.9,,
1160,Louisiana,St. James Parish,37,18,,
1161,Louisiana,St. John the Baptist Pa,35.8,18.2,,
1162,Louisiana,St. Landry Parish,39.6,27.9,,
1163,Louisiana,St. Martin Parish,34.2,17.9,,
1164,Louisiana,St. Mary Parish,38,22.4,,
1165,Louisiana,St. Tammany Parish,27.8,11.4,,
1166,Louisiana,Tangipahoa Parish,39.1,22.2,,
1167,Louisiana,Tensas Parish,34.8,35.4,,
1168,Louisiana,Terrebonne Parish,39.5,19.5,,
1169,Louisiana,Union Parish,34.4,28.1,,
1170,Louisiana,Vermilion Parish,31.2,17.8,,
1171,Louisiana,Vernon Parish,36.6,14.7,,
1172,Louisiana,Washington Parish,37.4,26.4,,
1173,Louisiana,Webster Parish,35.8,23.6,,
1174,Louisiana,West Baton Rouge Parish,40.2,19.4,,
1175,Louisiana,West Carroll Parish,36,25.8,,
1176,Louisiana,West Feliciana Parish,34.5,16,,
1177,Louisiana,Winn Parish,37.7,26.4,,21.95625
1178,Maine,Androscoggin County,33.2,15.7,,
1179,Maine,Aroostook County,34.1,18.5,,
1180,Maine,Cumberland County,22.7,11.6,,
1181,Maine,Franklin County,30.2,14.8,,
1182,Maine,Hancock County,24.3,13.5,,
1183,Maine,Kennebec County,30.9,13.8,,
1184,Maine,Knox County,23.1,11.2,,
1185,Maine,Lincoln County,24.6,12.1,,
1186,Maine,Oxford County,31.4,17.5,,
1187,Maine,Penobscot County,30.3,17,,
1188,Maine,Piscataquis County,33.3,20.9,,
1189,Maine,Sagadahoc County,25.1,12.1,,
1190,Maine,Somerset County,35,17.6,,
1191,Maine,Waldo County,28.3,16.4,,
1192,Maine,Washington County,28.5,19.1,,
1193,Maine,York County,27.6,9.8,,15.45333333
1194,Maryland,Allegany County,32.3,18,,
1195,Maryland,Anne Arundel County,29.1,5.9,,
1196,Maryland,Baltimore County,28.8,9.4,,
1197,Maryland,Calvert County,29.7,5.8,,
1198,Maryland,Caroline County,35,15.8,,
1199,Maryland,Carroll County,27.9,5.6,,
1200,Maryland,Cecil County,33.7,10.1,,
1201,Maryland,Charles County,36,7.9,,
1202,Maryland,Dorchester County,35.7,16.5,,
1203,Maryland,Frederick County,29.1,6.8,,
