State,County,percent
Kansas,Kearny County,28.7
Kansas,Kingman County,32.2
Kansas,Kiowa County,32.8
Kansas,Labette County,34
Kansas,Lane County,30.8
Kansas,Leavenworth County,32.8
Kansas,Lincoln County,31.2
Kansas,Linn County,31.6
Kansas,Logan County,31.1
Kansas,Lyon County,34.7
Kansas,McPherson County,29.2
Kansas,Marion County,30.9
Kansas,Marshall County,32.6
Kansas,Meade County,27
Kansas,Miami County,34.1
Kansas,Mitchell County,32.1
Kansas,Montgomery County,35.1
Kansas,Morris County,35.1
Kansas,Morton County,31.9
Kansas,Nemaha County,30.4
Kansas,Neosho County,33.5
Kansas,Ness County,31.1
Kansas,Norton County,32.4
Kansas,Osage County,37.1
Kansas,Osborne County,33.2
Kansas,Ottawa County,37.9
Kansas,Pawnee County,30.3
Kansas,Phillips County,28.8
Kansas,Pottawatomie County,31.3
Kansas,Pratt County,33.8
Kansas,Rawlins County,32.3
Kansas,Reno County,35.7
Kansas,Republic County,30.9
Kansas,Rice County,32.6
Kansas,Riley County,23.8
Kansas,Rooks County,32.8
Kansas,Rush County,32.6
Kansas,Russell County,30.4
Kansas,Saline County,35.1
Kansas,Scott County,32.1
Kansas,Sedgwick County,31.4
Kansas,Seward County,38.6
Kansas,Shawnee County,32.9
Kansas,Sheridan County,31.5
Kansas,Sherman County,29.9
Kansas,Smith County,34.1
Kansas,Stafford County,32.5
Kansas,Stanton County,31.3
Kansas,Stevens County,34.8
Kansas,Sumner County,31.1
Kansas,Thomas County,35
Kansas,Trego County,29.7
Kansas,Wabaunsee County,30.9
Kansas,Wallace County,33.1
Kansas,Washington County,30.7
Kansas,Wichita County,29.4
Kansas,Wilson County,32.9
Kansas,Woodson County,33.4
Kansas,Wyandotte County,36.2
Kentucky,Adair County,34.3
Kentucky,Allen County,33.9
Kentucky,Anderson County,34.6
Kentucky,Ballard County,34.2
Kentucky,Barren County,31
Kentucky,Bath County,30.4
Kentucky,Bell County,37.9
Kentucky,Boone County,32.5
Kentucky,Bourbon County,34.1
Kentucky,Boyd County,38.5
Kentucky,Boyle County,32.2
Kentucky,Bracken County,32.4
Kentucky,Breathitt County,41.6
Kentucky,Breckinridge County,36.6
Kentucky,Bullitt County,32.8
Kentucky,Butler County,33.2
Kentucky,Caldwell County,35
Kentucky,Calloway County,30.1
Kentucky,Campbell County,31.6
Kentucky,Carlisle County,33.4
Kentucky,Carroll County,35.3
Kentucky,Carter County,38.9
Kentucky,Casey County,36.4
Kentucky,Christian County,36.5
Kentucky,Clark County,30.6
Kentucky,Clay County,38
Kentucky,Clinton County,34.9
Kentucky,Crittenden County,33.8
Kentucky,Cumberland County,31.8
Kentucky,Daviess County,30.4
Kentucky,Edmonson County,31.2
Kentucky,Elliott County,33.7
Kentucky,Estill County,35.1
Kentucky,Fayette County,27.3
Kentucky,Fleming County,34.5
Kentucky,Floyd County,37.6
Kentucky,Franklin County,33.2
Kentucky,Fulton County,32
Kentucky,Gallatin County,35.8
Kentucky,Garrard County,30.5
Kentucky,Grant County,36.3
Kentucky,Graves County,30.1
Kentucky,Grayson County,36.5
Kentucky,Green County,38.1
Kentucky,Greenup County,39.8
Kentucky,Hancock County,34.5
Kentucky,Hardin County,32.9
Kentucky,Harlan County,36.5
Kentucky,Harrison County,30.1
Kentucky,Hart County,37.1
Kentucky,Henderson County,32.6
Kentucky,Henry County,31.6
Kentucky,Hickman County,35.2
Kentucky,Hopkins County,35
Kentucky,Jackson County,37.5
Kentucky,Jefferson County,31.6
Kentucky,Jessamine County,31.5
Kentucky,Johnson County,37.2
Kentucky,Kenton County,28.5
Kentucky,Knott County,40.2
Kentucky,Knox County,39.3
Kentucky,Larue County,33.6
Kentucky,Laurel County,37.8
Kentucky,Lawrence County,42.2
Kentucky,Lee County,33.9
Kentucky,Leslie County,43.2
Kentucky,Letcher County,38.6
Kentucky,Lewis County,38.3
Kentucky,Lincoln County,30.8
Kentucky,Livingston County,29.7
Kentucky,Logan County,35.2
Kentucky,Lyon County,33.3
Kentucky,McCracken County,33.7
Kentucky,McCreary County,34.3
Kentucky,McLean County,36.8
Kentucky,Madison County,32.2
Kentucky,Magoffin County,33.7
Kentucky,Marion County,30.6
Kentucky,Marshall County,34.1
Kentucky,Martin County,39.3
Kentucky,Mason County,30.1
Kentucky,Meade County,35.9
Kentucky,Menifee County,33.3
Kentucky,Mercer County,35.8
Kentucky,Metcalfe County,33.8
Kentucky,Monroe County,29.9
Kentucky,Montgomery County,32.2
Kentucky,Morgan County,35.5
Kentucky,Muhlenberg County,37.8
Kentucky,Nelson County,32.4
Kentucky,Nicholas County,32.5
Kentucky,Ohio County,37.2
Kentucky,Oldham County,28
Kentucky,Owen County,30
Kentucky,Owsley County,33.6
Kentucky,Pendleton County,32.4
Kentucky,Perry County,37
Kentucky,Pike County,38.9
Kentucky,Powell County,36.3
Kentucky,Pulaski County,33.6
Kentucky,Robertson County,34.6
Kentucky,Rockcastle County,36
Kentucky,Rowan County,34.4
Kentucky,Russell County,34.6
Kentucky,Scott County,29.4
Kentucky,Shelby County,33
Kentucky,Simpson County,35.4
Kentucky,Spencer County,30.3
Kentucky,Taylor County,35.4
Kentucky,Todd County,33.7
Kentucky,Trigg County,33.4
Kentucky,Trimble County,34
Kentucky,Union County,30.7
Kentucky,Warren County,31.6
Kentucky,Washington County,32.9
Kentucky,Wayne County,37.1
Kentucky,Webster County,35.6
Kentucky,Whitley County,36.3
Kentucky,Wolfe County,32.3
Kentucky,Woodford County,29.5
Louisiana,Acadia Parish,33.1
Louisiana,Allen Parish,34.4
Louisiana,Ascension Parish,31.3
Louisiana,Assumption Parish,34.8
Louisiana,Avoyelles Parish,37
Louisiana,Beauregard Parish,35.8
Louisiana,Bienville Parish,38.2
Louisiana,Bossier Parish,34.7
Louisiana,Caddo Parish,34.3
Louisiana,Calcasieu Parish,32.3
Louisiana,Caldwell Parish,36.3
Louisiana,Cameron Parish,31.5
Louisiana,Catahoula Parish,35.3
Louisiana,Claiborne Parish,37
Louisiana,Concordia Parish,38.3
Louisiana,De Soto Parish,38.9
Louisiana,East Baton Rouge Parish,32.9
Louisiana,East Carroll Parish,42.1
Louisiana,East Feliciana Parish,42.1
Louisiana,Evangeline Parish,41.9
Louisiana,Franklin Parish,38
Louisiana,Grant Parish,33.8
Louisiana,Iberia Parish,36.1
Louisiana,Iberville Parish,39.7
Louisiana,Jackson Parish,34.8
Louisiana,Jefferson Parish,35.4
Louisiana,Jefferson Davis Parish,36.3
Louisiana,Lafayette Parish,31.1
Louisiana,Lafourche Parish,36.9
Louisiana,La Salle Parish,33.2
Louisiana,Lincoln Parish,37.3
Louisiana,Livingston Parish,34.4
Louisiana,Madison Parish,41.8
Louisiana,Morehouse Parish,39.4
Louisiana,Natchitoches Parish,34.7
Louisiana,Orleans Parish,31.9
Louisiana,Ouachita Parish,35.7
Louisiana,Plaquemines Parish,33.5
Louisiana,Pointe Coupee Parish,35.3
Louisiana,Rapides Parish,35.7
Louisiana,Red River Parish,40.3
Louisiana,Richland Parish,37.1
Louisiana,Sabine Parish,39.1
Louisiana,St. Bernard Parish,35.5
Louisiana,St. Charles Parish,35.9
Louisiana,St. Helena Parish,40.6
Louisiana,St. James Parish,37
Louisiana,St. John the Baptist Pa,35.8
Louisiana,St. Landry Parish,39.6
Louisiana,St. Martin Parish,34.2
Louisiana,St. Mary Parish,38
Louisiana,St. Tammany Parish,27.8
Louisiana,Tangipahoa Parish,39.1
Louisiana,Tensas Parish,34.8
Louisiana,Terrebonne Parish,39.5
Louisiana,Union Parish,34.4
Louisiana,Vermilion Parish,31.2
Louisiana,Vernon Parish,36.6
Louisiana,Washington Parish,37.4
Louisiana,Webster Parish,35.8
Louisiana,West Baton Rouge Parish,40.2
Louisiana,West Carroll Parish,36
Louisiana,West Feliciana Parish,34.5
Louisiana,Winn Parish,37.7
Maine,Androscoggin County,33.2
Maine,Aroostook County,34.1
Maine,Cumberland County,22.7
Maine,Franklin County,30.2
Maine,Hancock County,24.3
Maine,Kennebec County,30.9
Maine,Knox County,23.1
Maine,Lincoln County,24.6
Maine,Oxford County,31.4
Maine,Penobscot County,30.3
Maine,Piscataquis County,33.3
Maine,Sagadahoc County,25.1
Maine,Somerset County,35
Maine,Waldo County,28.3
Maine,Washington County,28.5
Maine,York County,27.6
Maryland,Allegany County,32.3
Maryland,Anne Arundel County,29.1
Maryland,Baltimore County,28.8
Maryland,Calvert County,29.7
Maryland,Caroline County,35
Maryland,Carroll County,27.9
Maryland,Cecil County,33.7
Maryland,Charles County,36
Maryland,Dorchester County,35.7
Maryland,Frederick County,29.1
Maryland,Garrett County,30.6
Maryland,Harford County,27.9
Maryland,Howard County,21.7
Maryland,Kent County,28.1
Maryland,Montgomery County,20.1
Maryland,Prince George's County,33.4
Maryland,Queen Anne's County,28.9
Maryland,St. Mary's County,32
Maryland,Somerset County,42.2
Maryland,Talbot County,29.3
Maryland,Washington County,33.8
Maryland,Wicomico County,35.9
Maryland,Worcester County,29.4
Maryland,Baltimore city,33.7
Massachusetts,Barnstable County,19.9
Massachusetts,Berkshire County,23.7
Massachusetts,Bristol County,28.3
Massachusetts,Dukes County,22
Massachusetts,Essex County,25.5
Massachusetts,Franklin County,21
Massachusetts,Hampden County,27.5
Massachusetts,Hampshire County,18.9
Massachusetts,Middlesex County,22.6
Massachusetts,Nantucket County,20
Massachusetts,Norfolk County,20.5
Massachusetts,Plymouth County,27.8
Massachusetts,Suffolk County,21.3
Massachusetts,Worcester County,27
Michigan,Alcona County,31.1
Michigan,Alger County,29.8
Michigan,Allegan County,30.2
Michigan,Alpena County,32.1
Michigan,Antrim County,32.2
Michigan,Arenac County,34
Michigan,Baraga County,32.5
Michigan,Barry County,31.2
Michigan,Bay County,35.4
Michigan,Benzie County,28.7
Michigan,Berrien County,34.8
Michigan,Branch County,31.8
Michigan,Calhoun County,33.9
Michigan,Cass County,35.3
Michigan,Charlevoix County,28.6
Michigan,Cheboygan County,33.2
Michigan,Chippewa County,34.6
Michigan,Clare County,33.8
Michigan,Clinton County,31.6
Michigan,Crawford County,30.4
Michigan,Delta County,32.1
Michigan,Dickinson County,30.1
Michigan,Eaton County,35.7
Michigan,Emmet County,29.8
Michigan,Genesee County,33
Michigan,Gladwin County,34.7
Michigan,Gogebic County,31.3
Michigan,Grand Traverse County,26.8
Michigan,Gratiot County,33.6
Michigan,Hillsdale County,32
Michigan,Houghton County,30.7
Michigan,Huron County,31.5
Michigan,Ingham County,30.4
Michigan,Ionia County,38
Michigan,Iosco County,33.2
Michigan,Iron County,29.1
Michigan,Isabella County,30.9
Michigan,Jackson County,33.7
Michigan,Kalamazoo County,30.6
Michigan,Kalkaska County,31.6
Michigan,Kent County,28.7
Michigan,Keweenaw County,30.9
Michigan,Lake County,32
Michigan,Lapeer County,30.3
Michigan,Leelanau County,26.6
Michigan,Lenawee County,30.8
Michigan,Livingston County,29.6
Michigan,Luce County,32.6
Michigan,Mackinac County,31.1
Michigan,Macomb County,33.3
Michigan,Manistee County,34.6
Michigan,Marquette County,29.2
Michigan,Mason County,29.9
Michigan,Mecosta County,35
Michigan,Menominee County,34.4
Michigan,Midland County,30.5
Michigan,Missaukee County,32.2
Michigan,Monroe County,33.8
Michigan,Montcalm County,34
Michigan,Montmorency County,28.9
Michigan,Muskegon County,35.8
Michigan,Newaygo County,34
Michigan,Oakland County,26.3
Michigan,Oceana County,34.8
Michigan,Ogemaw County,35.6
Michigan,Ontonagon County,33
Michigan,Osceola County,34.2
Michigan,Oscoda County,33.5
Michigan,Otsego County,33.3
Michigan,Ottawa County,27.6
Michigan,Presque Isle County,32.3
Michigan,Roscommon County,34.2
Michigan,Saginaw County,38.9
Michigan,St. Clair County,33
Michigan,St. Joseph County,34.7
Michigan,Sanilac County,31.3
Michigan,Schoolcraft County,31.3
Michigan,Shiawassee County,32.4
Michigan,Tuscola County,32.6
Michigan,Van Buren County,33.5
Michigan,Washtenaw County,24.4
Michigan,Wayne County,33.5
Michigan,Wexford County,30.2
Minnesota,Aitkin County,29.9
Minnesota,Anoka County,30
Minnesota,Becker County,32.6
Minnesota,Beltrami County,30.9
Minnesota,Benton County,29.3
Minnesota,Big Stone County,28.7
Minnesota,Blue Earth County,33.7
Minnesota,Brown County,30.1
Minnesota,Carlton County,30.1
Minnesota,Carver County,23
Minnesota,Cass County,26.5
Minnesota,Chippewa County,29.9
Minnesota,Chisago County,29.8
Minnesota,Clay County,28.4
Minnesota,Clearwater County,31
Minnesota,Cook County,28.9
Minnesota,Cottonwood County,31.7
Minnesota,Crow Wing County,29
Minnesota,Dakota County,26.6
Minnesota,Dodge County,24.9
Minnesota,Douglas County,30
Minnesota,Faribault County,27
Minnesota,Fillmore County,25.1
Minnesota,Freeborn County,29.9
Minnesota,Goodhue County,32.2
Minnesota,Grant County,32
Minnesota,Hennepin County,22.8
Minnesota,Houston County,25.7
Minnesota,Hubbard County,24.9
Minnesota,Isanti County,28
Minnesota,Itasca County,32.2
Minnesota,Jackson County,31.5
Minnesota,Kanabec County,29.9
Minnesota,Kandiyohi County,29.1
Minnesota,Kittson County,27.8
Minnesota,Koochiching County,28
Minnesota,Lac qui Parle County,28.8
Minnesota,Lake County,30.3
Minnesota,Lake of the Woods Count,30.4
Minnesota,Le Sueur County,32.4
Minnesota,Lincoln County,28.3
Minnesota,Lyon County,28.7
Minnesota,McLeod County,31.1
Minnesota,Mahnomen County,32.6
Minnesota,Marshall County,29.7
Minnesota,Martin County,32.2
Minnesota,Meeker County,30.4
Minnesota,Mille Lacs County,35.9
Minnesota,Morrison County,34.3
Minnesota,Mower County,30.8
Minnesota,Murray County,29.8
Minnesota,Nicollet County,29.9
Minnesota,Nobles County,28.8
Minnesota,Norman County,28.2
Minnesota,Olmsted County,25.6
Minnesota,Otter Tail County,29.4
Minnesota,Pennington County,27.5
Minnesota,Pine County,36.2
Minnesota,Pipestone County,28.4
Minnesota,Polk County,33.5
Minnesota,Pope County,32.1
Minnesota,Ramsey County,25.8
Minnesota,Red Lake County,32.8
Minnesota,Redwood County,32.6
Minnesota,Renville County,29.5
Minnesota,Rice County,31.5
Minnesota,Rock County,28.4
Minnesota,Roseau County,29.3
Minnesota,St. Louis County,27.1
Minnesota,Scott County,24.6
Minnesota,Sherburne County,28.8
Minnesota,Sibley County,33.3
Minnesota,Stearns County,27.6
Minnesota,Steele County,30.5
Minnesota,Stevens County,33.5
Minnesota,Swift County,28.6
Minnesota,Todd County,30.4
Minnesota,Traverse County,32.1
Minnesota,Wabasha County,32.2
Minnesota,Wadena County,29.2
Minnesota,Waseca County,33.7
Minnesota,Washington County,26.1
Minnesota,Watonwan County,26.9
Minnesota,Wilkin County,28.5
Minnesota,Winona County,28.9
Minnesota,Wright County,28
Minnesota,Yellow Medicine County,29
Mississippi,Adams County,37.7
Mississippi,Alcorn County,37.9
Mississippi,Amite County,42.3
Mississippi,Attala County,39.2
Mississippi,Benton County,37
Mississippi,Bolivar County,37.5
Mississippi,Calhoun County,35.8
Mississippi,Carroll County,34.2
Mississippi,Chickasaw County,33.4
Mississippi,Choctaw County,31.7
Mississippi,Claiborne County,47.6
Mississippi,Clarke County,34.8
Mississippi,Clay County,35.3
Mississippi,Coahoma County,42.9
Mississippi,Copiah County,37.4
Mississippi,Covington County,36.3
Mississippi,DeSoto County,35.9
Mississippi,Forrest County,34.4
Mississippi,Franklin County,35.6
Mississippi,George County,34.2
Mississippi,Greene County,38.5
Mississippi,Grenada County,38.9
Mississippi,Hancock County,31.9
Mississippi,Harrison County,32.3
Mississippi,Hinds County,34.9
Mississippi,Holmes County,46.1
Mississippi,Humphreys County,41.6
Mississippi,Issaquena County,34.4
Mississippi,Itawamba County,34.5
Mississippi,Jackson County,32
Mississippi,Jasper County,37.9
Mississippi,Jefferson County,44.5
Mississippi,Jefferson Davis County,39.4
Mississippi,Jones County,38.4
Mississippi,Kemper County,36.9
Mississippi,Lafayette County,34.3
Mississippi,Lamar County,32.8
Mississippi,Lauderdale County,32.3
Mississippi,Lawrence County,36.8
Mississippi,Leake County,40.9
Mississippi,Lee County,33
Mississippi,Leflore County,44
Mississippi,Lincoln County,39.1
Mississippi,Lowndes County,34.3
Mississippi,Madison County,28.6
Mississippi,Marion County,34.2
Mississippi,Marshall County,39.1
Mississippi,Monroe County,38
Mississippi,Montgomery County,38.3
Mississippi,Neshoba County,37.5
Mississippi,Newton County,34.8
Mississippi,Noxubee County,40.6
Mississippi,Oktibbeha County,34.2
Mississippi,Panola County,36
Mississippi,Pearl River County,33.7
Mississippi,Perry County,37.2
Mississippi,Pike County,37.2
Mississippi,Pontotoc County,31.1
Mississippi,Prentiss County,33.1
Mississippi,Quitman County,41.5
Mississippi,Rankin County,31.5
Mississippi,Scott County,33.7
Mississippi,Sharkey County,37.5
Mississippi,Simpson County,37.7
Mississippi,Smith County,36.8
Mississippi,Stone County,35.8
Mississippi,Sunflower County,42.2
Mississippi,Tallahatchie County,39.6
Mississippi,Tate County,37.4
Mississippi,Tippah County,33.9
Mississippi,Tishomingo County,36.6
Mississippi,Tunica County,40.7
Mississippi,Union County,33.2
Mississippi,Walthall County,38.3
Mississippi,Warren County,32.7
Mississippi,Washington County,38.9
Mississippi,Wayne County,38.2
Mississippi,Webster County,33.9
Mississippi,Wilkinson County,39.9
Mississippi,Winston County,36.4
Mississippi,Yalobusha County,38.6
Mississippi,Yazoo County,38.8
Missouri,Adair County,29
Missouri,Andrew County,29.3
Missouri,Atchison County,29.8
Missouri,Audrain County,34.7
Missouri,Barry County,32.4
Missouri,Barton County,35.3
Missouri,Bates County,32.1
Missouri,Benton County,31.2
Missouri,Bollinger County,33.1
Missouri,Boone County,28.4
Missouri,Buchanan County,32.6
Missouri,Butler County,35.1
Missouri,Caldwell County,37.2
Missouri,Callaway County,34.3
Missouri,Camden County,28.5
Missouri,Cape Girardeau County,31.9
Missouri,Carroll County,35.4
Missouri,Carter County,31.1
Missouri,Cass County,30.3
Missouri,Cedar County,31
Missouri,Chariton County,30.4
Missouri,Christian County,29.1
Missouri,Clark County,34.3
Missouri,Clay County,29.3
Missouri,Clinton County,34.5
Missouri,Cole County,30.7
Missouri,Cooper County,35.4
Missouri,Crawford County,32.4
Missouri,Dade County,34.3
Missouri,Dallas County,33.7
Missouri,Daviess County,32.6
Missouri,DeKalb County,36.1
Missouri,Dent County,34.6
Missouri,Douglas County,32.5
Missouri,Dunklin County,32
Missouri,Franklin County,30.4
Missouri,Gasconade County,35
Missouri,Gentry County,28.7
Missouri,Greene County,32
Missouri,Grundy County,32.6
Missouri,Harrison County,34.1
Missouri,Henry County,29.5
Missouri,Hickory County,29.2
Missouri,Holt County,32.5
Missouri,Howard County,33.9
Missouri,Howell County,31.5
Missouri,Iron County,35.1
Missouri,Jackson County,31
Missouri,Jasper County,34.5
Missouri,Jefferson County,30.4
Missouri,Johnson County,30.9
Missouri,Knox County,31.7
Missouri,Laclede County,31.1
Missouri,Lafayette County,29.1
Missouri,Lawrence County,30
Missouri,Lewis County,35.5
Missouri,Lincoln County,31.5
Missouri,Linn County,30.6
Missouri,Livingston County,28.8
Missouri,McDonald County,28.1
Missouri,Macon County,32.8
Missouri,Madison County,34.3
Missouri,Maries County,33.7
Missouri,Marion County,37.3
Missouri,Mercer County,33.4
Missouri,Miller County,30.8
Missouri,Mississippi County,31.9
Missouri,Moniteau County,28.3
Missouri,Monroe County,30.8
Missouri,Montgomery County,33.9
Missouri,Morgan County,28.3
Missouri,New Madrid County,33.1
Missouri,Newton County,32
Missouri,Nodaway County,29.7
Missouri,Oregon County,32.4
Missouri,Osage County,33.3
Missouri,Ozark County,33.4
Missouri,Pemiscot County,34.4
Missouri,Perry County,33
Missouri,Pettis County,36.5
Missouri,Phelps County,27
Missouri,Pike County,28.8
Missouri,Platte County,30.8
Missouri,Polk County,29.4
Missouri,Pulaski County,28.4
Missouri,Putnam County,31.9
Missouri,Ralls County,32.6
Missouri,Randolph County,33
Missouri,Ray County,34.8
Missouri,Reynolds County,32.6
Missouri,Ripley County,34.3
Missouri,St. Charles County,25
Missouri,St. Clair County,28.6
Missouri,Ste. Genevieve County,30.1
Missouri,St. Francois County,32.8
Missouri,St. Louis County,29
Missouri,Saline County,37.6
Missouri,Schuyler County,30.3
Missouri,Scotland County,31.2
Missouri,Scott County,36.5
Missouri,Shannon County,29.7
Missouri,Shelby County,33.1
Missouri,Stoddard County,32.8
Missouri,Stone County,33.2
Missouri,Sullivan County,35.7
Missouri,Taney County,30.9
Missouri,Texas County,32.6
Missouri,Vernon County,30.3
Missouri,Warren County,28.4
Missouri,Washington County,33.6
Missouri,Wayne County,36.1
Missouri,Webster County,33.8
Missouri,Worth County,30.2
Missouri,Wright County,31.4
Missouri,St. Louis city,33.8
Montana,Beaverhead County,24.2
Montana,Big Horn County,38.8
Montana,Blaine County,35.6
Montana,Broadwater County,30.4
Montana,Carbon County,24
Montana,Carter County,25
Montana,Cascade County,28.2
Montana,Chouteau County,26.2
Montana,Custer County,30.6
Montana,Daniels County,25.5
Montana,Dawson County,30.9
Montana,Deer Lodge County,25.9
Montana,Fallon County,27.7
Montana,Fergus County,26
Montana,Flathead County,23.1
Montana,Gallatin County,15.5
Montana,Garfield County,25.9
Montana,Glacier County,34.2
Montana,Golden Valley County,24.4
Montana,Granite County,29
Montana,Hill County,33.4
Montana,Jefferson County,27.5
Montana,Judith Basin County,28.8
Montana,Lake County,27.7
Montana,Lewis and Clark County,24.3
Montana,Liberty County,26.5
Montana,Lincoln County,28.8
Montana,McCone County,23.8
Montana,Madison County,21.7
Montana,Meagher County,23.9
Montana,Mineral County,27.7
Montana,Missoula County,22.2
Montana,Musselshell County,27.5
Montana,Park County,22.6
Montana,Petroleum County,24.6
Montana,Phillips County,29
Montana,Pondera County,29.4
Montana,Powder River County,27.3
Montana,Powell County,28
Montana,Prairie County,26.2
Montana,Ravalli County,23.3
Montana,Richland County,30.7
Montana,Roosevelt County,36.9
Montana,Rosebud County,35.6
Montana,Sanders County,26.8
Montana,Sheridan County,29.8
Montana,Silver Bow County,25.5
Montana,Stillwater County,21.8
Montana,Sweet Grass County,24.3
Montana,Teton County,26.7
Montana,Toole County,26.5
Montana,Treasure County,25.6
Montana,Valley County,29.2
Montana,Wheatland County,25.3
Montana,Wibaux County,26.6
Montana,Yellowstone County,25.1
Nebraska,Adams County,33
Nebraska,Antelope County,27.6
Nebraska,Arthur County,29.7
Nebraska,Banner County,33.5
Nebraska,Blaine County,29.1
Nebraska,Boone County,31.6
Nebraska,Box Butte County,33.9
Nebraska,Boyd County,34.2
Nebraska,Brown County,30.2
Nebraska,Buffalo County,30.1
Nebraska,Burt County,31
Nebraska,Butler County,32
Nebraska,Cass County,35.4
Nebraska,Cedar County,28.3
Nebraska,Chase County,30.6
Nebraska,Cherry County,26.2
Nebraska,Cheyenne County,31.5
Nebraska,Clay County,32.9
Nebraska,Colfax County,31.5
Nebraska,Cuming County,29.7
Nebraska,Custer County,32
Nebraska,Dakota County,35.8
Nebraska,Dawes County,27.3
Nebraska,Dawson County,33.8
Nebraska,Deuel County,30.1
Nebraska,Dixon County,31.5
Nebraska,Dodge County,32.7
Nebraska,Douglas County,27.8
Nebraska,Dundy County,35.3
Nebraska,Fillmore County,33.4
Nebraska,Franklin County,36.7
Nebraska,Frontier County,35.5
Nebraska,Furnas County,33.9
Nebraska,Gage County,34.1
Nebraska,Garden County,32.6
Nebraska,Garfield County,28.4
Nebraska,Gosper County,34.4
Nebraska,Grant County,28.3
Nebraska,Greeley County,32.4
Nebraska,Hall County,33.9
Nebraska,Hamilton County,32.5
Nebraska,Harlan County,32.1
Nebraska,Hayes County,33.2
Nebraska,Hitchcock County,35.9
Nebraska,Holt County,30.2
Nebraska,Hooker County,26.6
Nebraska,Howard County,29.4
Nebraska,Jefferson County,36.2
Nebraska,Johnson County,30.3
Nebraska,Kearney County,31.1
Nebraska,Keith County,27.5
Nebraska,Keya Paha County,29.6
Nebraska,Kimball County,31.4
Nebraska,Knox County,31.6
Nebraska,Lancaster County,26
Nebraska,Lincoln County,31.7
Nebraska,Logan County,31.1
Nebraska,Loup County,30.7
Nebraska,McPherson County,30.5
Nebraska,Madison County,32.6
Nebraska,Merrick County,32.6
Nebraska,Morrill County,30.2
Nebraska,Nance County,29.8
Nebraska,Nemaha County,35.5
Nebraska,Nuckolls County,33.5
Nebraska,Otoe County,33.9
Nebraska,Pawnee County,29.8
Nebraska,Perkins County,24.5
Nebraska,Phelps County,33.4
Nebraska,Pierce County,34.1
Nebraska,Platte County,29.3
Nebraska,Polk County,29.5
Nebraska,Red Willow County,31.9
Nebraska,Richardson County,36.7
Nebraska,Rock County,30.3
Nebraska,Saline County,33
Nebraska,Sarpy County,30.6
Nebraska,Saunders County,28.6
Nebraska,Scotts Bluff County,33.9
Nebraska,Seward County,29.4
Nebraska,Sheridan County,30.2
Nebraska,Sherman County,33.1
Nebraska,Sioux County,32.3
Nebraska,Stanton County,34.3
Nebraska,Thayer County,30.2
Nebraska,Thomas County,32.8
Nebraska,Thurston County,41.8
Nebraska,Valley County,32.3
Nebraska,Washington County,31.5
Nebraska,Wayne County,29.6
Nebraska,Webster County,32.9
Nebraska,Wheeler County,28.1
Nebraska,York County,33.6
Nevada,Churchill County,25.5
Nevada,Clark County,27.8
Nevada,Douglas County,21.4
Nevada,Elko County,30.3
Nevada,Esmeralda County,25.5
Nevada,Eureka County,27.2
Nevada,Humboldt County,25.7
Nevada,Lander County,30.4
Nevada,Lincoln County,25.9
Nevada,Lyon County,29.8
Nevada,Mineral County,28
Nevada,Nye County,31.5
Nevada,Pershing County,31.1
Nevada,Storey County,26.9
Nevada,Washoe County,21.8
Nevada,White Pine County,28.7
Nevada,Carson City,24.6
New Hampshire,Belknap County,31.3
New Hampshire,Carroll County,25.2
New Hampshire,Cheshire County,27.4
New Hampshire,Coos County,30.5
New Hampshire,Grafton County,25.3
New Hampshire,Hillsborough County,28.5
New Hampshire,Merrimack County,29.5
New Hampshire,Rockingham County,26.1
New Hampshire,Strafford County,29.1
New Hampshire,Sullivan County,28.8
New Jersey,Atlantic County,27.6
New Jersey,Bergen County,21.5
New Jersey,Burlington County,28
New Jersey,Camden County,30.2
New Jersey,Cape May County,27.9
New Jersey,Cumberland County,34.5
New Jersey,Essex County,28.7
New Jersey,Gloucester County,30.3
New Jersey,Hudson County,23.9
New Jersey,Hunterdon County,22.3
New Jersey,Mercer County,24.6
New Jersey,Middlesex County,25
New Jersey,Monmouth County,23.2
New Jersey,Morris County,21
New Jersey,Ocean County,28.1
New Jersey,Passaic County,25.7
New Jersey,Salem County,33.9
New Jersey,Somerset County,22.6
New Jersey,Sussex County,26.2
New Jersey,Union County,24.7
New Jersey,Warren County,28.8
New Mexico,Bernalillo County,21.5
New Mexico,Catron County,20.3
New Mexico,Chaves County,29.2
New Mexico,Cibola County,31.2
New Mexico,Colfax County,22
New Mexico,Curry County,30.5
New Mexico,De Baca County,22.9
New Mexico,Doña Ana County,23.6
New Mexico,Eddy County,31.2
New Mexico,Grant County,21.8
New Mexico,Guadalupe County,27.3
New Mexico,Harding County,22.9
New Mexico,Hidalgo County,22.9
New Mexico,Lea County,33.8
New Mexico,Lincoln County,19.9
New Mexico,Los Alamos County,19.9
New Mexico,Luna County,24.3
New Mexico,McKinley County,35.1
New Mexico,Mora County,22.6
New Mexico,Otero County,25.1
New Mexico,Quay County,32
New Mexico,Rio Arriba County,24.5
New Mexico,Roosevelt County,26.9
New Mexico,Sandoval County,23.8
New Mexico,San Juan County,31.7
New Mexico,San Miguel County,22.6
New Mexico,Santa Fe County,13.7
New Mexico,Sierra County,21
New Mexico,Socorro County,26.3
New Mexico,Taos County,17.4
New Mexico,Torrance County,26.1
New Mexico,Union County,27
